,서비스번호,서비스명,판매자,서비스가격,평점,대분류,판매수,value_nouns,소분류,소분류_AI 및 머신러닝,소분류_IoT 및 임베디드 시스템,소분류_SEO 및 마케팅,소분류_게임 개발,소분류_관리 시스템,소분류_기타,소분류_기획 및 문서화,소분류_데이터 분석 및 시각화,소분류_데이터 수집 및 자동화,소분류_데이터베이스 관리,소분류_디자인 및 퍼블리싱,소분류_보안 및 취약점 관리,소분류_블록체인 및 암호화폐,소분류_서버 관리,소분류_앱 개발,소분류_웹사이트 개발,소분류_유지보수,소분류_자동화 및 스크립팅,소분류_전자상거래 및 CMS,소분류_제어 및 센서 시스템,소분류_하드웨어 및 IT지원,소분류_AI 및 머신러닝,소분류_IoT 및 임베디드 시스템,소분류_SEO 및 마케팅,소분류_게임 개발,소분류_관리 시스템,소분류_기타,소분류_기획 및 문서화,소분류_데이터 분석 및 시각화,소분류_데이터 수집 및 자동화,소분류_데이터베이스 관리,소분류_디자인 및 퍼블리싱,소분류_보안 및 취약점 관리,소분류_블록체인 및 암호화폐,소분류_서버 관리,소분류_앱 개발,소분류_웹사이트 개발,소분류_유지보수,소분류_자동화 및 스크립팅,소분류_전자상거래 및 CMS,소분류_제어 및 센서 시스템,소분류_하드웨어 및 IT지원
29,2137.0,페이스북 픽셀 설치 도와 드립니다.,개밥그릇,20000.0,5.0,기타,210,"['페이스북', '픽셀', '설치']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,2153.0,구글 GA 구글 애널리틱스 설치 도와 드립니다.,개밥그릇,11000.0,5.0,기타,758,"[""'구글'"", ""'GA'"", ""'구글 애널리틱스'"", ""'설치'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,2183.0,MS오피스 엑셀기반 엑세스 DB 연동 솔루션 제작하여 드립니다.,비쥬얼엑셀,50000.0,5.0,데이터,17,"['MS오피스', '엑셀', '엑세스 DB', '솔루션']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58,2190.0,윅스WIX 빠르고 깔끔하게 만들어 드립니다.,유스트라다무스,150000.0,5.0,기타,298,"[""'윅스WIX'"", ""'만들어 드립니다'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
68,2210.0,아마존 웹 서비스 AWS 에 관련된 모든것을 도와 드립니다.,YoungWooJung,50000.0,5.0,홈페이지,101,"[""'아마존 웹 서비스'"", ""'AWS'"", ""'모든것'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
78,2232.0,어떤 웹페이지든 고쳐 드립니다.,부리부리,50000.0,5.0,홈페이지,56,"[""'웹페이지'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
82,2240.0,"JSP,PHP,HTML 간단한 소스코드 수정, 제작해 드립니다.",비트박,10000.0,5.0,홈페이지,816,"['JSP', 'PHP', 'HTML', '소스코드', '제작']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
83,2242.0,트레이딩뷰 파인스크립트 보조지표 제작해 드립니다.,Ilgaemi,55000.0,5.0,프로그래밍,470,"['트레이딩뷰', '파인스크립트', '보조지표', '제작']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
86,2246.0,페이스북 픽셀 설치해 드립니다.,최초개척자,20000.0,5.0,기타,1422,"['페이스북', '픽셀']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
110,2294.0,"PHP ASP 보완, 수정, 오류 도와 드립니다.",라곰,5000.0,5.0,기타,904,"['주요 명사: PHP', 'ASP', '보완', '수정', '오류']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
