서비스명,대분류,서비스번호,판매자,소분류
"카페24,고도몰,메이크샵등 쇼핑몰 수정,코딩,유지보수",커머스,2102.0,logf1,웹 유지보수
"엑셀 VBA, 매크로, ERP 프로그램 개발해 드립니다.",데이터,2103.0,엑셀의신,액셀.스프레드시트
"엑셀을 이용 서식과 집계, 분석 및 VBA 프로그래밍",데이터,2105.0,태구리,액셀.스프레드시트
카페24 쇼핑몰 수정 유지보수 제작 기능개선 오류개선,커머스,2106.0,오Design,웹 제작
카페24 쇼핑몰 수정 및 개선작업 해 드립니다.,커머스,2107.0,WorldWiseWeb,웹 제작
리눅스 서버 기술지원 서버이전 SSL 장애처리,데이터,2108.0,리눅스웨어,서버.클라우드
"워드프레스 홈페이지 수정, 오류 해결, 기능 추가",홈페이지,2110.0,김대리닷넷,웹 유지보수
쎈스있는 카페24 수정유지보수 리뉴얼 코딩 해드립니다.,기타,2111.0,이쎈스,웹 유지보수
고도몰5 전문 튜닝 친절한 상담과 깔끔한 작업 진행해 드립니다.,기타,2115.0,웹개발윤서준,웹 제작
알고리즘 자료구조 등 프로그램 제작해 드립니다.,프로그램,2116.0,개발자김명준,프로그램 자동화
"웹사이트에 기능추가, 기능수정, 오류수정 해드립니다.",홈페이지,2117.0,pgkwon1,웹 유지보수
"주말작업가능 24시상담 쇼핑몰 상품등록,배너제작 해 드립니다.",커머스,2118.0,궁봇,웹 제작
"퍼블리싱 작업 html, css, jquery 작업해 드립니다.",홈페이지,2119.0,number154a,웹 유지보수
워드프레스 홈페이지 개선해 드립니다.,홈페이지,2120.0,워드넷,웹빌더
카페24cafe24 꼼꼼하게 리뉴얼 유지보수 수정해 드립니다.,기타,2121.0,김꼼꼼,웹 유지보수
홈페이지 퍼블리싱 html css 웹표준 맞춰 작업해 드립니다.,홈페이지,2122.0,닷지,웹 유지보수
"크롤링 , 크롤러 , 파싱 , 파싱기 맞춤 제작해 드립니다.",데이터,2123.0,비트박,크롤링.스크래핑
"PHP, 그누보드, 영카트, 고도몰, 카페24 등 개발, 코딩해 드립니다.",프로그래밍,2124.0,디바인,웹 유지보수
R을 활용한 데이터 분석 도와 드립니다.,데이터,2125.0,박군,크롤링.스크래핑
"웹사이트 기능추가, 오류수정 개발 작업해 드립니다.",홈페이지,2126.0,greydoll,웹 유지보수
"HTML, PHP 홈페이지 수정해 드립니다.",홈페이지,2127.0,DoubleU,웹 유지보수
"카페24,메이크샵,고도몰,기타홈페이지 수정,코딩해 드립니다.",홈페이지,2128.0,css777,웹 유지보수
PHP 개발 및 그누보드 셋팅 및 수정 도와 드립니다.,프로그래밍,2129.0,smallgate,웹 유지보수
간단한 아두이노 장치 제작해 드립니다.,프로그래밍,2130.0,수제비1,하드웨어·임베디드
프로그램 그까이꺼 원하는 대로 만들어 드립니다.,프로그램,2131.0,eternalsoft,프로그램 유지보수
홈페이지 유지 보수 해 드립니다.,홈페이지,2132.0,woong6156,웹 유지보수
안드로이드 앱 개발해 드립니다.,모바일,2134.0,로그캣,앱
이미지를 디자인파일 ai 벡터로 제작해 드립니다.,디자인,2135.0,케세라세라,웹 제작
PHP 웹 사이트 유지보수 도와 드립니다.,홈페이지,2136.0,윤푸,웹 유지보수
페이스북 픽셀 설치 도와 드립니다.,기타,2137.0,개밥그릇,하드웨어·임베디드
워드프레스 테마플러그인 수정 및 오류 해결해 드립니다.,홈페이지,2138.0,하시인,웹빌더
"엑셀 수식, VBA 매크로 해결해 드립니다.",데이터,2139.0,고모르,액셀.스프레드시트
"그누보드, 영카트 웹 사이트 수정 및 유지보수 해드려요",홈페이지,2142.0,TW,웹 유지보수
"웹사이트의 페이지, 기능을 수정 및 추가해 드립니다.",홈페이지,2143.0,와이테크,웹 유지보수
카페24 유지보수 수정 기능 추가해 드립니다.,기타,2145.0,lovleyOn,웹 유지보수
고퀄리티 반응형 홈페이지를 드립니다.,홈페이지,2146.0,포인원,웹 제작
자료구조 및 알고리즘 구현 제작하고 설명해 드립니다.,프로그래밍,2148.0,알고리즘강성주,프로그램 자동화
"크롤링, 데이터 수집, 각종 프로그램 제작해 드립니다.",데이터,2149.0,zeehastory,크롤링.스크래핑
php 홈페이지 기능추가 및 수정작업해 드립니다.,홈페이지,2152.0,lyh,웹 유지보수
구글 GA 구글 애널리틱스 설치 도와 드립니다.,기타,2153.0,개밥그릇,액셀.스프레드시트
각종 프로그램 개발 해 드립니다.,프로그램,2159.0,gaegun,프로그램 유지보수
숨은 데이터까지 크롤링해 드립니다.,데이터,2161.0,우주정복자,크롤링.스크래핑
엑셀관련 업무용 프로그램을 맞춤형으로 개발,데이터,2162.0,cgod,액셀.스프레드시트
카페24 메이크샵 유지보수 및 수정 메뉴얼 제공해 드립니다.,기타,2164.0,1pxstudio,웹 유지보수
Linux 기술지원 해 드립니다.,기타,2165.0,MasterONE,컴퓨터 기술지원
