단어,빈도
일반한식,1213471
인터넷P/G,891330
슈퍼마켓,851875
편 의 점,729549
서양음식,635353
대형할인점,324831
약 국,318852
스넥,233168
제과점,230451
정육점,212767
인터넷종합Mall,190662
기타 전문점,183225
농·축·수산품,183035
택시,179366
의 원,169435
중국식,129052
자사카드발행백화점,120240
주유소,106567
기타음료식품,105322
SK주유소,87189
이동통신요금,78300
GS주유소,77402
미용원,76845
쌍용S-OIL,75826
기타잡화,66679
"농,축협직영매장",58883
인터넷Mall,58399
기타레져업소,57765
종합병원,57251
일식·회집,54553
PG상품권,49660
손해보험,48227
현대정유(오일뱅크),43808
스포츠·레져용품,41139
정장,40824
연 쇄 점,36224
철도,35328
일반서적,35252
병 원(응급실운영),32734
치과의원,32707
화장품,31579
문구용품,30781
생명보험,29386
자동차정비,25418
CATV홈쇼핑,24676
주점,24598
한 의 원,23885
안경,21636
사우나,20226
기타숙박업,20207
애완동물,18360
기계공구,17881
골프경기장,17204
유아원,16590
공공요금대행서비스/소득공제대상,16164
세탁소,15373
SK가스충전소,14779
상 품 권,14535
사무서비스,14443
공공요금대행서비스/소득공제비대상,14295
농협하나로클럽,13154
가전제품,12735
스크린골프,12242
화원,12144
통신판매업1,11824
고속버스,11150
주차장,10604
액세서리,10314
영화관,9273
동물병원,9228
가정용품수리,9213
내의판매,9172
E1가스충전소,9063
쌍용S-OIL가스충전소,8338
자동차부품,8089
기타건축자재,7850
비영리/비대상,7809
구내매점(국가기관등),7755
위탁급식업,7520
GS가스충전소,7214
스포츠의류,7138
DP&E,7051
목재·석재·철물,6826
노 래 방,6717
헬스클럽,6688
티켓,6471
LPG취급점,6080
업종미등록,6070
보습학원,6027
비영리/대상,6013
레져업소,5144
정수기,4895
치과병원,4857
일반(통신판매),4840
볼 링 장,4781
완구점,4725
골프연습장,4458
예·체능계학원,4346
당구장,4046
자동차시트·타이어,3971
의료용품,3871
일반가구,3793
미곡상,3726
조명기구,3633
항공사,3605
화물운송,3601
세차장,3555
침구·수예점,3466
면 세 점,3428
주방용구,3336
통신서비스/소득공제비대상,3185
조세서비스,3147
비씨카드 정산용가맹점,3121
기타건강식품,3069
학원,3024
외국어학원,3000
신 발,2939
미용재료,2844
기타전기제품,2794
주방용식기,2691
피부미용실,2646
기타 사무용품,2559
독서실,2542
종합레져타운,2530
유류판매,2520
기타의류,2475
기타유통업,2380
골프용품 전문점,2362
기념품점,2313
기타4,2296
출판 및 인쇄물,2279
소프트웨어,2054
기능학원,2034
통신기기,2031
특급호텔,2018
학습지교육,1997
홍삼제품,1994
전기차충전소,1892
보관및 창고업,1891
가례서비스업,1867
콘도,1842
기타의료기관 및 기타의료기기,1825
컴퓨터,1809
기타 교육기관,1783
기타용역서비스,1770
문화취미기타,1712
보일러·펌프·샷시,1676
농축수산가공품,1665
기타대인서비스,1664
종합용역,1632
페인트,1530
현대정유가스충전소,1504
"비료,사료,종자",1446
아동의류,1426
비씨카드 정산용(할인),1399
건강진단,1387
카인테리어,1352
건축용 요업제품,1247
이용원,1126
수족관,1066
수 영 장,1052
1급 호텔,950
"카페트,커튼,천막,지물",934
렌터카,928
전문서적,918
인테리어전문,822
가 방,821
사무·통신기기수리,819
한약방,793
이륜차판매,768
민예·공예품,744
기타보험,741
기타가구,738
유흥주점,718
2급 호텔,713
기타1,704
전자상거래상품권,691
시 계,674
가타자동차서비스,619
기타수리서비스,578
칵테일바,538
농기계,511
여객선,508
단체복,504
갈비전문점,490
단란주점,377
초중고교육기관,357
주류판매점,291
사무용 OA기기,266
