단어,빈도
일반한식,1552647
인터넷P/G,950625
편 의 점,862525
슈퍼마켓,841833
서양음식,836923
약 국,367332
대형할인점,312885
스넥,276587
제과점,243810
택시,216452
정육점,207539
기타 전문점,206491
의 원,204208
인터넷종합Mall,187261
농·축·수산품,181540
중국식,153377
기타음료식품,138949
자사카드발행백화점,137876
주유소,117125
SK주유소,98501
미용원,87850
GS주유소,87520
쌍용S-OIL,83516
이동통신요금,80847
인터넷Mall,79700
기타잡화,77680
일식·회집,71654
종합병원,64830
정장,64320
"농,축협직영매장",61709
스포츠·레져용품,60594
기타레져업소,59752
현대정유(오일뱅크),53252
손해보험,50368
PG상품권,49134
일반서적,48327
철도,43345
연 쇄 점,41719
병 원(응급실운영),37644
문구용품,37344
치과의원,35146
골프경기장,34340
주점,33725
화장품,33362
자동차정비,29066
생명보험,28951
한 의 원,27289
CATV홈쇼핑,23857
안경,23486
기타숙박업,23320
세탁소,23087
사무서비스,22913
공공요금대행서비스/소득공제비대상,22585
기계공구,21239
애완동물,20176
사우나,17900
공공요금대행서비스/소득공제대상,16736
화원,16390
SK가스충전소,15984
주차장,15612
유아원,15178
스크린골프,15106
상 품 권,14494
고속버스,14318
영화관,13991
티켓,12837
가전제품,12820
위탁급식업,12791
스포츠의류,12500
통신판매업1,12355
농협하나로클럽,12296
노 래 방,12008
액세서리,11855
E1가스충전소,11175
내의판매,11117
동물병원,10663
기타건축자재,10238
가정용품수리,9568
DP&E,9505
쌍용S-OIL가스충전소,9163
자동차부품,8883
비영리/대상,8738
목재·석재·철물,8590
비영리/비대상,8378
구내매점(국가기관등),7899
헬스클럽,7825
GS가스충전소,7655
종합레져타운,7034
보습학원,6762
골프연습장,6465
볼 링 장,5669
예·체능계학원,5504
레져업소,5476
면 세 점,5333
치과병원,5286
LPG취급점,5187
정수기,5136
자동차시트·타이어,5031
침구·수예점,5010
신 발,4928
당구장,4904
완구점,4891
유흥주점,4873
"비료,사료,종자",4861
항공사,4795
화물운송,4427
의료용품,4386
일반(통신판매),4245
일반가구,4216
미곡상,4040
기념품점,4012
조명기구,3774
주방용식기,3759
주방용구,3752
기타건강식품,3648
통신서비스/소득공제비대상,3631
기타의류,3593
골프용품 전문점,3433
피부미용실,3403
기타전기제품,3341
외국어학원,3296
세차장,3252
독서실,3138
미용재료,3125
기타 사무용품,3073
학원,3023
특급호텔,2941
출판 및 인쇄물,2932
종합용역,2897
기타유통업,2842
아동의류,2824
비씨카드 정산용가맹점,2812
조세서비스,2770
업종미등록,2764
초중고교육기관,2641
기타 교육기관,2599
단란주점,2589
전기차충전소,2568
기타4,2351
학습지교육,2334
가례서비스업,2317
보관및 창고업,2278
페인트,2212
통신기기,2207
기타용역서비스,2137
현대정유가스충전소,2074
콘도,2058
여객선,2023
컴퓨터,2011
문화취미기타,1927
기타의료기관 및 기타의료기기,1917
기타대인서비스,1826
인테리어전문,1739
건강진단,1730
소프트웨어,1703
비씨카드 정산용(할인),1650
기능학원,1644
유류판매,1641
카인테리어,1638
수 영 장,1614
홍삼제품,1477
보일러·펌프·샷시,1458
건축용 요업제품,1372
농축수산가공품,1365
칵테일바,1304
수족관,1286
인삼제품,1284
렌터카,1280
이용원,1261
가 방,1259
"카페트,커튼,천막,지물",1214
기타가구,1206
1급 호텔,1149
민예·공예품,1146
사무·통신기기수리,1141
전문서적,1127
기타농업관련,1126
기타보험,1079
이륜차판매,1076
시 계,940
농기계,935
옷감·직물,856
한약방,856
화방·표구점,795
귀금속,787
한방병원,733
가타자동차서비스,676
기타수리서비스,638
관광여행,578
주류판매점,567
사무용 OA기기,539
갈비전문점,518
단체복,454
기타서적문구,423
기타1,402
부동산중개·임대,344
2급 호텔,333
안마/스포츠마사지,333
윤활유전문판매,277
