단어,빈도
일반한식,529016
인터넷P/G,444302
슈퍼마켓,371250
편 의 점,363523
서양음식,329914
약 국,200730
대형할인점,125396
스넥,104057
제과점,102798
의 원,102114
기타 전문점,97155
정육점,87249
택시,85100
인터넷종합Mall,82602
농·축·수산품,77084
기타음료식품,61438
중국식,59014
주유소,50083
자사카드발행백화점,49662
인터넷Mall,42848
SK주유소,42646
이동통신요금,40396
GS주유소,37846
쌍용S-OIL,35069
미용원,34242
기타잡화,32019
종합병원,31185
일식·회집,25957
손해보험,24890
"농,축협직영매장",24466
기타레져업소,24198
현대정유(오일뱅크),23727
PG상품권,20014
철도,17725
연 쇄 점,17607
스포츠·레져용품,17438
정장,17210
병 원(응급실운영),16546
치과의원,15284
일반서적,14558
생명보험,14182
문구용품,14110
화장품,11967
자동차정비,11573
골프경기장,11095
한 의 원,10783
공공요금대행서비스/소득공제비대상,10765
기타숙박업,10095
안경,10036
CATV홈쇼핑,9869
주점,9110
애완동물,8752
기계공구,8418
세탁소,8380
스크린골프,8314
사우나,8068
공공요금대행서비스/소득공제대상,8032
유아원,7888
사무서비스,6810
SK가스충전소,6691
화원,6656
통신판매업1,6262
주차장,6193
DP&E,5859
고속버스,5373
상 품 권,5357
가전제품,5146
E1가스충전소,5013
농협하나로클럽,4984
영화관,4810
비영리/비대상,4483
액세서리,4435
동물병원,4357
티켓,4351
가정용품수리,4140
쌍용S-OIL가스충전소,3856
헬스클럽,3652
스포츠의류,3582
구내매점(국가기관등),3578
위탁급식업,3531
기타건축자재,3529
내의판매,3441
자동차부품,3306
예·체능계학원,3211
목재·석재·철물,3154
GS가스충전소,3145
노 래 방,2934
비영리/대상,2777
보습학원,2739
정수기,2602
완구점,2410
면 세 점,2352
골프연습장,2346
레져업소,2226
일반(통신판매),2095
통신서비스/소득공제비대상,2054
치과병원,2048
종합레져타운,2036
기념품점,2006
자동차시트·타이어,1951
화물운송,1897
LPG취급점,1872
의료용품,1831
볼 링 장,1828
업종미등록,1766
미곡상,1747
당구장,1745
전기차충전소,1709
비씨카드 정산용가맹점,1609
항공사,1590
기타건강식품,1582
골프용품 전문점,1559
조명기구,1523
조세서비스,1523
일반가구,1522
콘도,1513
특급호텔,1497
세차장,1495
학습지교육,1473
외국어학원,1473
가례서비스업,1438
유흥주점,1392
피부미용실,1387
침구·수예점,1378
기타전기제품,1344
주방용식기,1317
신 발,1291
미용재료,1278
기타유통업,1205
주방용구,1179
인테리어전문,1176
학원,1168
유류판매,1155
기타의류,1118
종합용역,1109
출판 및 인쇄물,1102
기타 교육기관,1091
기타 사무용품,1089
보관및 창고업,1033
현대정유가스충전소,998
기타4,964
"비료,사료,종자",925
기타보험,901
기타대인서비스,866
비씨카드 정산용(할인),864
통신기기,860
기타의료기관 및 기타의료기기,853
기능학원,785
기타용역서비스,774
독서실,751
건강진단,747
단란주점,726
문화취미기타,709
페인트,698
컴퓨터,674
주류판매점,611
카인테리어,602
여객선,597
보일러·펌프·샷시,594
수 영 장,570
1급 호텔,551
아동의류,550
소프트웨어,543
홍삼제품,530
사무·통신기기수리,518
기타가구,515
렌터카,511
농축수산가공품,502
수족관,496
단체복,489
건축용 요업제품,481
이용원,456
전문서적,439
가 방,411
이륜차판매,407
2급 호텔,392
민예·공예품,383
인삼제품,362
"카페트,커튼,천막,지물",357
위성방송,339
칵테일바,324
가타자동차서비스,302
농기계,260
사무용 OA기기,164
