단어,빈도
일반한식,3084488
인터넷P/G,1908644
편 의 점,1787019
서양음식,1703167
슈퍼마켓,1666405
약 국,812007
대형할인점,596945
스넥,543727
제과점,487303
의 원,462021
택시,425264
정육점,421287
기타 전문점,414389
농·축·수산품,377616
인터넷종합Mall,352740
중국식,309004
기타음료식품,307154
자사카드발행백화점,263723
주유소,229095
SK주유소,197565
인터넷Mall,187204
미용원,174096
GS주유소,172803
쌍용S-OIL,163355
이동통신요금,162364
기타잡화,155845
일식·회집,142039
종합병원,131632
기타레져업소,125073
정장,122057
"농,축협직영매장",121085
스포츠·레져용품,113536
현대정유(오일뱅크),109418
손해보험,101546
일반서적,91796
PG상품권,89036
철도,87016
연 쇄 점,83875
병 원(응급실운영),75758
문구용품,72621
골프경기장,68780
치과의원,68564
주점,65598
화장품,59745
생명보험,57242
자동차정비,56391
한 의 원,52784
세탁소,47236
CATV홈쇼핑,46202
안경,45726
기타숙박업,45674
사무서비스,43929
공공요금대행서비스/소득공제비대상,43535
사우나,41767
기계공구,41728
애완동물,41609
공공요금대행서비스/소득공제대상,34283
스크린골프,33560
주차장,33552
화원,31508
위탁급식업,30911
SK가스충전소,30521
티켓,28581
유아원,28517
영화관,28379
고속버스,28356
노 래 방,28049
상 품 권,26173
스포츠의류,24572
통신판매업1,24340
농협하나로클럽,24198
가전제품,23371
액세서리,22999
E1가스충전소,22629
내의판매,21314
동물병원,21293
DP&E,20842
기타건축자재,19161
비영리/대상,18976
가정용품수리,18211
쌍용S-OIL가스충전소,17567
비영리/비대상,17517
구내매점(국가기관등),17299
목재·석재·철물,17085
자동차부품,17036
헬스클럽,16620
종합레져타운,15461
GS가스충전소,15142
보습학원,14178
유흥주점,13202
골프연습장,13030
예·체능계학원,11321
레져업소,10947
볼 링 장,10808
면 세 점,10568
정수기,10554
"비료,사료,종자",9974
치과병원,9896
자동차시트·타이어,9894
완구점,9865
신 발,9704
당구장,9676
침구·수예점,9314
LPG취급점,9211
기념품점,9051
화물운송,9045
의료용품,8895
미곡상,8354
항공사,8032
일반(통신판매),7972
통신서비스/소득공제비대상,7898
기타건강식품,7848
주방용식기,7822
일반가구,7512
기타의류,7482
조명기구,7295
주방용구,7200
골프용품 전문점,7157
세차장,6912
피부미용실,6853
단란주점,6838
조세서비스,6812
외국어학원,6808
기타전기제품,6658
전기차충전소,6564
종합용역,6497
미용재료,6309
특급호텔,6178
출판 및 인쇄물,5869
기타유통업,5660
기타 사무용품,5657
비씨카드 정산용가맹점,5653
학원,5633
가례서비스업,5606
업종미등록,5560
학습지교육,5404
기타 교육기관,5346
초중고교육기관,5195
독서실,5012
기타4,4956
보관및 창고업,4841
아동의류,4789
콘도,4463
기타용역서비스,4274
인테리어전문,4264
현대정유가스충전소,4224
페인트,4216
통신기기,4193
수 영 장,4182
여객선,4170
건강진단,3880
기타의료기관 및 기타의료기기,3733
컴퓨터,3648
문화취미기타,3540
소프트웨어,3495
비씨카드 정산용(할인),3432
인삼제품,3326
기타대인서비스,3294
홍삼제품,3215
유류판매,3129
카인테리어,3033
기능학원,2900
농축수산가공품,2819
보일러·펌프·샷시,2693
가 방,2649
건축용 요업제품,2580
사무·통신기기수리,2578
이용원,2565
칵테일바,2560
민예·공예품,2482
기타보험,2444
수족관,2372
기타가구,2332
렌터카,2314
기타농업관련,2297
"카페트,커튼,천막,지물",2270
1급 호텔,2268
전문서적,2148
이륜차판매,2124
주류판매점,1912
농기계,1889
2급 호텔,1781
한약방,1760
옷감·직물,1714
한방병원,1692
시 계,1692
화방·표구점,1596
귀금속,1525
가타자동차서비스,1417
기타1,1287
관광여행,1152
기타수리서비스,1150
사무용 OA기기,1126
안마/스포츠마사지,1123
단체복,886
기타서적문구,798
갈비전문점,789
위성방송,784
부동산중개·임대,774
택시회사,394
맞춤복점,368
윤활유전문판매,277
