단어,빈도
일반한식,2272864
인터넷P/G,1475532
편 의 점,1300075
서양음식,1258382
슈퍼마켓,1256225
약 국,630678
대형할인점,434275
스넥,402522
제과점,367374
의 원,359966
정육점,350733
택시,345785
기타 전문점,324824
농·축·수산품,310105
인터넷종합Mall,253976
중국식,233569
기타음료식품,231489
자사카드발행백화점,202572
주유소,175307
인터넷Mall,168152
SK주유소,150991
GS주유소,130951
미용원,129269
쌍용S-OIL,123635
이동통신요금,121798
기타잡화,121248
일식·회집,109243
종합병원,105271
기타레져업소,103735
정장,90463
"농,축협직영매장",89321
현대정유(오일뱅크),83012
손해보험,77817
스포츠·레져용품,76255
PG상품권,74279
철도,72462
연 쇄 점,65431
병 원(응급실운영),58199
문구용품,55418
치과의원,54281
주점,50064
일반서적,48032
화장품,46317
자동차정비,46018
영화관,44479
생명보험,42828
사우나,39964
한 의 원,39265
골프경기장,36672
CATV홈쇼핑,36541
기타숙박업,34358
안경,33328
세탁소,32766
공공요금대행서비스/소득공제비대상,32426
기계공구,31013
애완동물,30590
사무서비스,30037
공공요금대행서비스/소득공제대상,29958
스크린골프,26529
노 래 방,26030
주차장,26006
SK가스충전소,23074
유아원,22819
액세서리,21551
고속버스,21367
내의판매,20828
DP&E,20100
위탁급식업,20060
농협하나로클럽,19815
통신판매업1,18913
상 품 권,18652
E1가스충전소,17980
가전제품,17976
스포츠의류,17895
화원,17836
티켓,16138
동물병원,15438
구내매점(국가기관등),14828
헬스클럽,14665
가정용품수리,13791
기타건축자재,13663
자동차부품,13253
쌍용S-OIL가스충전소,12931
비영리/비대상,12897
목재·석재·철물,12259
GS가스충전소,11566
비영리/대상,11528
유흥주점,11251
보습학원,10738
예·체능계학원,10113
완구점,9541
종합레져타운,9470
면 세 점,9330
레져업소,8572
볼 링 장,8500
업종미등록,8430
정수기,8033
신 발,7968
자동차시트·타이어,7943
치과병원,7562
당구장,7398
화물운송,7082
미곡상,7079
의료용품,7040
골프연습장,6953
침구·수예점,6947
조세서비스,6939
기타의류,6929
LPG취급점,6623
통신서비스/소득공제비대상,6331
기념품점,6244
일반(통신판매),6184
조명기구,6088
특급호텔,5897
단란주점,5866
기타건강식품,5806
전기차충전소,5798
항공사,5454
외국어학원,5404
세차장,5394
주방용구,5357
기타전기제품,5352
피부미용실,5350
주방용식기,5127
골프용품 전문점,5063
미용재료,5003
일반가구,4937
초중고교육기관,4777
종합용역,4730
기타유통업,4567
가례서비스업,4510
콘도,4509
비씨카드 정산용가맹점,4428
학원,4368
유류판매,4332
학습지교육,4310
출판 및 인쇄물,4305
기타4,4103
기타 교육기관,3955
기타 사무용품,3856
인테리어전문,3844
보관및 창고업,3705
수 영 장,3584
비씨카드 정산용(할인),3531
건강진단,3393
현대정유가스충전소,3377
아동의류,3340
기타용역서비스,3323
문화취미기타,3315
통신기기,3128
기타의료기관 및 기타의료기기,3080
독서실,3027
기능학원,2702
보일러·펌프·샷시,2691
주류판매점,2666
페인트,2562
컴퓨터,2502
기타대인서비스,2378
카인테리어,2307
사무·통신기기수리,2241
"비료,사료,종자",2179
가 방,2090
농축수산가공품,1991
여객선,1990
칵테일바,1979
이용원,1934
1급 호텔,1933
홍삼제품,1900
기타가구,1870
건축용 요업제품,1814
전문서적,1719
소프트웨어,1714
렌터카,1683
2급 호텔,1641
"카페트,커튼,천막,지물",1634
수족관,1557
이륜차판매,1536
민예·공예품,1423
인삼제품,1401
옷감·직물,1257
기타보험,1246
한약방,1242
기타1,1223
한방병원,1212
귀금속,1144
시 계,1096
가타자동차서비스,1043
관광여행,1031
화방·표구점,913
기타수리서비스,882
기타농업관련,852
농기계,837
윤활유전문판매,812
갈비전문점,809
안마/스포츠마사지,809
사무용 OA기기,728
전자상거래상품권전문판매,589
택시회사,514
위성방송,464
캐주얼의류,424
CATV,378
부동산중개·임대,321
기타서적문구,304
