단어,빈도
일반한식,1742487
인터넷P/G,1335632
슈퍼마켓,1223125
편 의 점,1093072
서양음식,965267
약 국,519582
대형할인점,450227
스넥,337225
제과점,333249
정육점,300016
기타 전문점,280380
인터넷종합Mall,273264
의 원,271549
택시,264466
농·축·수산품,260119
중국식,188066
자사카드발행백화점,169902
기타음료식품,166760
주유소,156650
SK주유소,129835
이동통신요금,118696
GS주유소,115248
미용원,111087
쌍용S-OIL,110895
인터넷Mall,101247
기타잡화,98698
종합병원,88436
"농,축협직영매장",83349
기타레져업소,81963
일식·회집,80510
손해보험,73117
PG상품권,69674
현대정유(오일뱅크),67535
스포츠·레져용품,58577
정장,58034
연 쇄 점,53831
철도,53053
일반서적,49810
병 원(응급실운영),49280
치과의원,47991
문구용품,44891
생명보험,43568
화장품,43546
자동차정비,36991
한 의 원,34668
CATV홈쇼핑,34545
주점,33708
안경,31672
기타숙박업,30302
골프경기장,28299
사우나,28294
애완동물,27112
기계공구,26299
공공요금대행서비스/소득공제비대상,25060
유아원,24478
공공요금대행서비스/소득공제대상,24196
세탁소,23753
SK가스충전소,21470
사무서비스,21253
스크린골프,20556
상 품 권,19892
화원,18800
농협하나로클럽,18138
통신판매업1,18086
가전제품,17881
주차장,16797
고속버스,16523
액세서리,14749
영화관,14083
E1가스충전소,14076
동물병원,13585
가정용품수리,13353
DP&E,12910
내의판매,12613
비영리/비대상,12292
쌍용S-OIL가스충전소,12194
자동차부품,11395
기타건축자재,11379
구내매점(국가기관등),11333
위탁급식업,11051
티켓,10822
스포츠의류,10720
GS가스충전소,10359
헬스클럽,10340
목재·석재·철물,9980
노 래 방,9651
비영리/대상,8790
보습학원,8766
LPG취급점,7952
업종미등록,7836
예·체능계학원,7557
정수기,7497
레져업소,7370
완구점,7135
일반(통신판매),6935
치과병원,6905
골프연습장,6804
볼 링 장,6609
자동차시트·타이어,5922
당구장,5791
면 세 점,5780
의료용품,5702
화물운송,5498
미곡상,5473
일반가구,5315
통신서비스/소득공제비대상,5239
항공사,5195
조명기구,5156
세차장,5050
침구·수예점,4844
비씨카드 정산용가맹점,4730
조세서비스,4670
기타건강식품,4651
종합레져타운,4566
주방용구,4515
외국어학원,4473
기념품점,4319
신 발,4230
학원,4192
기타전기제품,4138
미용재료,4122
피부미용실,4033
주방용식기,4008
골프용품 전문점,3921
유류판매,3675
기타 사무용품,3648
전기차충전소,3601
기타의류,3593
기타유통업,3585
특급호텔,3515
학습지교육,3470
출판 및 인쇄물,3381
콘도,3355
가례서비스업,3305
독서실,3293
기타4,3260
보관및 창고업,2924
통신기기,2891
기타 교육기관,2874
기능학원,2819
종합용역,2741
기타의료기관 및 기타의료기기,2678
소프트웨어,2597
기타용역서비스,2544
기타대인서비스,2530
홍삼제품,2524
현대정유가스충전소,2502
컴퓨터,2483
문화취미기타,2421
"비료,사료,종자",2371
보일러·펌프·샷시,2270
비씨카드 정산용(할인),2263
페인트,2228
농축수산가공품,2167
건강진단,2134
유흥주점,2110
인테리어전문,1998
아동의류,1976
카인테리어,1954
건축용 요업제품,1728
기타보험,1642
수 영 장,1622
이용원,1582
수족관,1562
1급 호텔,1501
렌터카,1439
전문서적,1357
사무·통신기기수리,1337
"카페트,커튼,천막,지물",1291
기타가구,1253
가 방,1232
이륜차판매,1175
민예·공예품,1127
여객선,1105
2급 호텔,1105
단란주점,1103
단체복,993
가타자동차서비스,921
주류판매점,902
칵테일바,862
한약방,793
농기계,771
기타1,704
전자상거래상품권,691
시 계,674
기타수리서비스,578
갈비전문점,490
사무용 OA기기,430
인삼제품,362
초중고교육기관,357
위성방송,339
