,Title,Content
0,"【인사】DGB금융지주, DGB대구은행 2022 상반기",  ◆ DGB금융지주 ○ 부점장급 이동 ▲HR기업문화부 부장대우 마필재 ▲리스크관리부 부장 백상헌 ▲CSR추진부 부장 김상헌 ▲글로벌사업부 부장 문희웅 ▲HR기업문화부 부장대우 장용호 ◆ DGB대구은행 ○ 부점장급 이동 ▲ 대이동지점 지점장 강정훈 ▲ 태전동지점 지점장 곽보영 ▲ 북성로지점 지점장 권선일... 
1,"DGB금융지주·대구은행, 임원 인사 및 조직 개편 실시","  최종호 상무(그룹감사총괄)와 황병우 상무(그룹지속가능경영총괄 겸 ESG전략경영연구소장)를 각각 전무로 승진했으며, 구은미 대구은행 준법감시인을 그룹준법감시인(전무)으로 신규 선임했다. 상무에는 강정훈 현 미래기획부장을 신규 선임했다. 김태오 회장은 ▲HIPO프로그램 인재 POOL에서 임원을 선임해... "
2,"DGB금융지주 대구은행 임원인사, 김태오 ""미래 CEO 육성에 전력""","  DGB금융그룹이 금융지주와 대구은행의 임원인사를 실시했다. DGB금융그룹은 28일 그룹임원인사위원회 및 이사회를 열고 2022년 임원인사를 시행했다고 29일 밝혔다. 김태오 DGB금융지주 회장. DGB금융그룹은 ""DGB금융지주 임원인사는 지주회사의 조직개편 방향인 '핵심기능 강화와 미래금융 대응'에 발맞춰... "
3,[인사] DGB금융지주·DGB대구은행,  신근호 ▲ 대구본부 부장 신동준 ▲ 대구본부 부장 신미경 ▲ 부천지점 지점장 신성우 ▲ ICT개발부 부장 안용준 ▲ 이시아폴리스지점 지점장 여규동 ▲ 북비산지점 지점장 오세진 ▲ 자금지원부 부장 오세현 ▲ 마케팅기획부 부장 오현석 ▲ 사상공단영업부 기업지점장 유창화 ▲ 경산공단영업부 부장 유현호... 
4,서울 한복판에 대구은행 광고가 하루종일…무슨 일이지?,"  송출 영상은 외부 광고 없이 오로지 DGB대구은행, DGB캐피탈, 하이자산운용 등 DGB금융그룹의 주요 계열사를 홍보하기 위한 것으로 구성됐다. 특히 DGB금융그룹의 대표 캐릭터 단디가 창문을 열고 인사하는 약 40초짜리 영상은 행인들에게 친근함을 안겨줘 종각의 '랜드마크'로 자리 잡을 것이라는 전망도... "
5,DGB대구은행 '2021 포용금융 유공자 시상 2관왕',  DGB대구은행은 금융감독원이 주관하는 2021년 포용금융 부문 유공자 시상에서 자영업자 경영컨설팅 지원 부문 및 서민금융 지원 부문 우수기관 표창을 받았다고 28일 밝혔다. 이번 수상을 통해 DGB대구은행은 자영업자 사업역량 강화 지원에 대한 공로와 서민금융 활성화에 이바지한 공로를 인정받있다. 또한... 
6,"금감원, NH농협·대구은행 등에 '포용금융 공헌' 포상","  서민금융 지원 부문에서는 '새희망홀씨' 공급 확대 등을 통해 서민·취약계층 금융지원 활성화에 기여한 NH농협·DGB대구은행이 우수상을 받았다. 중소기업 지원 부문 우수상은 중소기업 대출, 관계형 금융 등에 기여한 신한은행·BNK부산은행에 돌아갔다. 자영업자 경영컨설팅 지원 부문에서는 코로나19... "
7,"임성훈 대구은행장, 신입행원과 메타버스 간담회","  DGB대구은행(이하 대구은행)은 미래성장 동력인 디지털 혁신을 도모하고, MZ세대 직원들과의 격의 없는 소통을 위해 은행장과 신입행원과의 온라인 만남을 성황리에 진행했다고 27일 밝혔다. 대구은행은 신입행원 연수 일정 중 매년 진행하는 '은행장과 신입행원 간담회'를 메타버스 플랫폼 '게더 타운'에서... "
8,"대구은행 성주지점, 성금 200만원 전달",  DGB대구은행 성주지점(지점장 소영섭)은 지난 29일 성주군청을 방문해 희망2022나눔캠페인 이웃돕기 성금 200만원을 전달했다. 매년 지역 취약계층을 대상으로 성금과 물품을 기부하는 등 지역나눔 활동을 펼쳐오고 있다. 올해 연탄2600장(220만원 상당) 기탁에 이어 '희망2022나눔캠페인'에도... 
9,"[더벨]DGB대구은행, '비대면 강화·조직 융합' 방점 조직개편",  DGB대구은행의 올 연말 조직개편은 비대면 리테일 강화와 조직 운영 효율화로 압축된다. 디지털본부에 가계 여·수신 서비스에 대한 기획 및 마케팅 기능을 포함시켜 모바일뱅킹 이용률이 급증하는 최근의 기조에 대응토록 했다. 이 밖에 연관된 본부를 합쳐 조직을 슬림화하고 업무 효율성을 극대화했다.... 
